node,collocate,cooc,coll_freq,logDice,register
interaction,cis,8,14,8.692,other
interaction,framework,13,411,8.691,other
interaction,mechanism,9,97,8.684,other
interaction,previous,9,103,8.672,other
interaction,critique,11,270,8.662,other
interaction,personalize,9,109,8.66,other
interaction,conduct,9,116,8.646,other
interaction,decision,10,200,8.642,other
interaction,semantic,10,207,8.63,other
interaction,explore,9,128,8.623,other
interaction,enhance,11,306,8.605,other
interaction,pattern,8,55,8.601,other
interaction,simulation,8,58,8.595,instrumental
interaction,task,12,397,8.595,other
interaction,query,9,150,8.581,instrumental
interaction,set,9,155,8.572,other
interaction,dynamic,9,157,8.568,other
interaction,round,8,77,8.555,other
interaction,interface,8,79,8.551,other
interaction,facilitate,8,84,8.541,other
interaction,social,8,94,8.52,other
interaction,complex,8,97,8.514,other
interaction,specifically,8,99,8.51,other
interaction,critiquing,9,207,8.478,other
interaction,significantly,8,125,8.459,other
interaction,learn,9,224,8.449,instrumental
interaction,significant,8,132,8.445,other
interaction,question,9,226,8.445,other
interaction,quality,9,233,8.434,other
interaction,realistic,7,48,8.424,other
interaction,specific,8,145,8.421,other
interaction,use,9,242,8.418,other
interaction,appropriate,7,53,8.413,other
interaction,effort,7,55,8.409,other
interaction,achieve,8,153,8.406,other
interaction,past,7,60,8.398,other
interaction,role,7,62,8.394,other
interaction,interactive,8,161,8.391,other
interaction,online,8,162,8.389,other
interaction,factor,7,66,8.385,other
interaction,challenge,9,264,8.382,other
interaction,view,7,71,8.375,other
interaction,investigate,7,74,8.369,other
interaction,explanation,8,181,8.354,other
interaction,give,7,83,8.35,other
interaction,drive,7,89,8.338,other
interaction,structure,7,91,8.334,other
interaction,exist,9,295,8.332,other
interaction,efficiency,7,93,8.33,other
interaction,introduce,8,196,8.328,other
interaction,research,9,304,8.318,other
interaction,action,7,112,8.292,other
interaction,novel,8,218,8.289,other
interaction,construct,7,115,8.286,other
interaction,well,7,124,8.268,other
interaction,modality,6,19,8.265,other
interaction,cost,6,29,8.243,other
interaction,find,7,138,8.241,other
interaction,collaborative,7,138,8.241,other
interaction,mixed,6,34,8.232,other
interaction,leverage,7,146,8.226,other
interaction,skill,6,37,8.225,other
interaction,personalized,7,149,8.221,other
interaction,acquire,6,43,8.212,other
interaction,style,6,48,8.201,other
interaction,dynamically,6,48,8.201,other
interaction,remain,6,48,8.201,other
interaction,infer,6,49,8.199,other
interaction,general,6,53,8.19,other
interaction,accuracy,7,166,8.189,other
interaction,end,7,167,8.187,other
interaction,include,7,167,8.187,other
interaction,collect,6,56,8.184,other
interaction,analyze,6,58,8.18,other
interaction,develop,7,174,8.174,other
interaction,candidate,6,63,8.169,other
interaction,problem,7,182,8.16,other
interaction,experiment,8,300,8.155,other
interaction,furthermore,6,71,8.152,other
interaction,current,7,188,8.149,other
interaction,express,6,73,8.148,other
interaction,adapt,6,73,8.148,other
interaction,large,8,310,8.139,other
interaction,elicit,6,79,8.136,instrumental
interaction,simulator,6,83,8.128,instrumental
interaction,long,6,95,8.103,other
interaction,aim,7,220,8.093,other
interaction,contain,6,104,8.085,other
interaction,show,6,114,8.065,other
interaction,knowledge,11,729,8.062,other
interaction,search,6,126,8.042,other
interaction,shopkeeper,5,6,8.032,other
interaction,utilize,6,134,8.027,other
interaction,dataset,9,517,8.019,other
interaction,application,6,142,8.011,other
interaction,class,5,20,8.0,other
interaction,cors,5,25,7.989,other
interaction,feature,7,283,7.989,instrumental
interaction,click,5,27,7.984,other
interaction,scenario,6,157,7.983,other
interaction,textual,5,28,7.982,other
interaction,key,6,158,7.981,other
interaction,opportunity,5,30,7.978,other
interaction,make,6,163,7.972,other
interaction,useful,5,35,7.967,other
interaction,cover,5,36,7.964,other
interaction,crucial,5,37,7.962,other
interaction,intention,5,40,7.956,other
interaction,fail,5,42,7.951,other
interaction,observe,5,44,7.947,other
interaction,range,5,46,7.943,other
interaction,entity,6,181,7.939,other
interaction,implement,5,55,7.923,other
interaction,involve,5,56,7.921,other
interaction,public,5,56,7.921,other
interaction,ensure,5,57,7.919,other
interaction,explicit,5,58,7.917,other
interaction,individual,5,59,7.915,other
interaction,short,5,62,7.908,other
interaction,machine,5,63,7.906,other
interaction,new,6,205,7.897,other
interaction,future,5,68,7.896,other
interaction,dialog,6,212,7.885,other
interaction,accurate,5,74,7.883,other
interaction,compound,5,75,7.881,other
interaction,answer,5,76,7.879,other
interaction,obtain,5,77,7.877,other
interaction,good,5,79,7.873,other
interaction,influence,5,79,7.873,other
interaction,method,8,502,7.868,other
interaction,lack,5,85,7.86,other
interaction,order,5,86,7.858,other
interaction,service,5,92,7.846,other
interaction,state,6,239,7.838,other
interaction,aspect,5,97,7.836,other
interaction,guide,5,101,7.828,other
interaction,data,5,104,7.822,instrumental
interaction,llm,6,261,7.802,other
interaction,limitation,5,115,7.8,other
interaction,context,6,262,7.8,other
interaction,build,5,117,7.796,other
interaction,incorporate,5,120,7.791,other
interaction,analysis,5,121,7.789,other
interaction,relationship,5,121,7.789,other
interaction,experimental,5,125,7.781,other
interaction,effectively,5,129,7.773,other
interaction,understand,5,131,7.769,other
interaction,world,5,131,7.769,other
interaction,help,5,132,7.767,other
interaction,recent,5,135,7.762,other
interaction,attribute,6,286,7.762,instrumental
interaction,algorithm,5,140,7.752,other
interaction,fine,5,143,7.746,other
interaction,compare,5,150,7.733,other
interaction,consider,5,151,7.731,other
interaction,issue,5,161,7.713,other
interaction,button,4,9,7.703,other
interaction,subsequent,4,13,7.694,other
interaction,exploratory,4,13,7.694,other
interaction,gui,4,15,7.689,other
interaction,proactive,4,16,7.687,other
interaction,purpose,4,17,7.685,other
interaction,cycle,4,23,7.671,other
interaction,simulated,4,23,7.671,other
interaction,scheme,4,24,7.669,other
interaction,conventional,4,24,7.669,other
interaction,inherent,4,26,7.665,other
interaction,flow,4,28,7.66,other
interaction,module,5,190,7.66,other
interaction,hand,4,30,7.656,other
interaction,seek,4,31,7.653,other
interaction,major,4,32,7.651,other
interaction,making,4,36,7.642,other
interaction,planning,4,36,7.642,other
interaction,insight,4,37,7.64,other
interaction,processing,4,42,7.629,other
interaction,prior,4,42,7.629,other
interaction,suffer,4,42,7.629,other
interaction,comparison,4,42,7.629,other
interaction,reward,4,43,7.627,instrumental
interaction,generative,4,43,7.627,other
interaction,assist,4,45,7.623,other
interaction,community,4,54,7.603,other
interaction,measure,4,54,7.603,other
interaction,face,4,55,7.601,other
interaction,overall,4,59,7.593,other
interaction,similar,4,60,7.591,other
interaction,stage,4,62,7.586,other
interaction,example,4,65,7.58,other
interaction,optimal,4,69,7.572,other
interaction,relate,4,69,7.572,other
interaction,multimodal,4,69,7.572,other
interaction,technical,4,72,7.565,other
interaction,capability,4,72,7.565,other
interaction,suggestion,4,75,7.559,other
interaction,address,5,252,7.554,other
interaction,conference,4,78,7.553,other
interaction,perform,4,81,7.547,other
interaction,setting,4,82,7.545,other
interaction,commerce,4,84,7.541,other
interaction,rely,4,85,7.539,other
interaction,text,4,85,7.539,other
interaction,computational,4,86,7.536,other
interaction,target,4,87,7.534,other
interaction,elicitation,4,90,7.528,instrumental
interaction,understanding,4,91,7.526,other
interaction,bias,4,93,7.522,other
interaction,utterance,4,94,7.52,other
interaction,adaptive,4,94,7.52,other
interaction,component,4,94,7.52,other
interaction,contextual,4,96,7.516,other
interaction,external,4,106,7.496,other
interaction,demonstrate,5,290,7.492,other
interaction,content,4,109,7.49,other
interaction,offer,4,109,7.49,other
interaction,domain,5,298,7.48,other
interaction,network,4,117,7.474,other
interaction,employ,4,143,7.424,other
interaction,technique,4,149,7.413,other
interaction,ask,4,151,7.409,other
interaction,copyright,4,152,7.408,other
interaction,extensive,4,161,7.391,other
interaction,acm,4,168,7.378,other
interaction,potential,4,190,7.338,other
interaction,high,4,203,7.315,other
interaction,importantly,3,5,7.297,other
interaction,empirically,3,6,7.295,other
interaction,mi,3,6,7.295,other
interaction,repeat,3,6,7.295,other
interaction,ended,3,6,7.295,other
interaction,medical,3,9,7.288,other
interaction,taxonomy,3,10,7.286,other
interaction,continue,3,11,7.283,other
interaction,shape,3,11,7.283,other
interaction,stimulate,3,11,7.283,other
interaction,possibility,3,11,7.283,other
interaction,cora,3,13,7.279,other
interaction,miss,3,13,7.279,other
interaction,hard,3,14,7.277,other
interaction,guapp,3,15,7.274,other
interaction,fit,3,15,7.274,other
interaction,comprise,3,17,7.27,other
interaction,basic,3,17,7.27,other
interaction,detail,3,17,7.27,other
interaction,layer,3,17,7.27,other
interaction,criterion,3,18,7.268,other
interaction,cause,3,18,7.268,other
interaction,professional,3,18,7.268,other
interaction,underlie,3,19,7.265,other
interaction,recsys,3,20,7.263,other
interaction,ir,3,20,7.263,other
interaction,concern,3,20,7.263,other
interaction,element,3,20,7.263,other
interaction,certain,3,20,7.263,other
interaction,potentially,3,20,7.263,other
interaction,loop,3,20,7.263,other
interaction,consistent,3,20,7.263,other
interaction,minimal,3,21,7.261,other
interaction,protocol,3,21,7.261,other
interaction,generally,3,22,7.259,other
interaction,intrinsic,3,23,7.256,other
interaction,nlp,3,23,7.256,other
interaction,post,3,24,7.254,other
interaction,size,3,25,7.252,other
interaction,modal,3,26,7.25,other
interaction,highly,3,26,7.25,other
interaction,sale,3,26,7.25,other
interaction,direct,3,27,7.247,other
interaction,link,3,28,7.245,other
interaction,deliver,3,29,7.243,other
interaction,progress,3,29,7.243,other
interaction,voice,3,30,7.241,other
interaction,derive,3,32,7.236,other
interaction,grow,3,32,7.236,other
interaction,examine,3,33,7.234,other
interaction,success,3,34,7.232,other
interaction,evolve,3,35,7.23,other
interaction,essential,3,35,7.23,other
interaction,latent,3,37,7.225,other
interaction,accord,3,37,7.225,other
interaction,enrich,3,37,7.225,other
interaction,report,3,37,7.225,other
interaction,ground,3,37,7.225,other
interaction,shopping,3,40,7.219,other
interaction,negative,3,42,7.214,other
interaction,know,3,42,7.214,other
interaction,benefit,3,42,7.214,other
interaction,mitigate,3,43,7.212,other
interaction,prove,3,44,7.21,other
interaction,consist,3,45,7.208,other
interaction,estimate,3,45,7.208,other
interaction,define,3,45,7.208,other
interaction,usually,3,45,7.208,other
interaction,increasingly,3,45,7.208,other
interaction,fusion,3,46,7.206,other
interaction,recently,3,47,7.203,other
interaction,signal,3,49,7.199,instrumental
interaction,perceive,3,50,7.197,other
interaction,addition,3,50,7.197,other
interaction,limit,3,53,7.19,other
interaction,especially,3,54,7.188,other
interaction,represent,3,54,7.188,other
interaction,source,3,57,7.182,other
interaction,indicate,3,59,7.178,other
interaction,web,3,59,7.178,other
interaction,update,3,60,7.176,other
interaction,engage,3,61,7.173,other
interaction,paradigm,3,65,7.165,other
interaction,proceeding,3,65,7.165,other
interaction,implicit,3,68,7.159,other
interaction,important,3,69,7.157,other
interaction,architecture,3,71,7.152,other
interaction,exploit,3,81,7.132,other
interaction,group,3,82,7.13,other
interaction,single,3,87,7.119,other
interaction,diversity,3,92,7.109,other
interaction,combine,3,92,7.109,other
interaction,select,3,94,7.105,other
interaction,orient,3,94,7.105,other
interaction,development,3,105,7.083,other
interaction,ai,3,108,7.077,other
interaction,e,3,109,7.075,other
interaction,ieee,3,113,7.067,other
interaction,space,3,117,7.059,other
interaction,modeling,3,121,7.052,instrumental
interaction,increase,3,121,7.052,other
interaction,interest,4,377,7.039,other
interaction,traditional,3,130,7.034,other
interaction,open,3,131,7.032,other
interaction,intent,3,132,7.03,instrumental
interaction,relevant,3,137,7.021,other
interaction,type,3,143,7.009,other
interaction,prompt,3,147,7.002,other
interaction,learning,4,425,6.971,instrumental
interaction,llms,3,165,6.968,other
interaction,effectiveness,3,166,6.967,other
interaction,reasoning,3,178,6.945,other
interaction,response,3,294,6.749,other
interaction,systems,3,358,6.651,other
